Dia,Desde,Hacia,Costo
Día 108,1,3,1193
Día 108,1,4,1308
Día 108,1,5,1075
Día 108,1,6,2522
Día 108,1,7,245
Día 108,1,8,2803
Día 108,2,1,3099
Día 108,2,3,2471
Día 108,2,4,3375
Día 108,2,5,2993
Día 108,2,6,2137
Día 108,2,7,1813
Día 108,2,8,3061
Día 108,3,1,1324
Día 108,3,2,2338
Día 108,3,4,624
Día 108,3,5,357
Día 108,3,6,1016
Día 108,3,7,1134
Día 108,3,8,2727
Día 108,4,1,1075
Día 108,4,2,3081
Día 108,4,3,962
Día 108,4,5,1121
Día 108,4,6,2530
Día 108,4,7,222
Día 108,4,8,3199
Día 108,5,1,1206
Día 108,5,2,2979
Día 108,5,3,358
Día 108,5,4,1063
Día 108,5,6,1774
Día 108,5,7,1385
Día 108,5,8,2547
Día 108,6,1,2595
Día 108,6,2,2186
Día 108,6,3,1252
Día 108,6,4,2526
Día 108,6,5,1548
Día 108,6,7,3495
Día 108,6,8,3328
Día 108,7,1,562
Día 108,7,2,1952
Día 108,7,3,1323
Día 108,7,4,346
Día 108,7,5,1056
Día 108,7,6,3458
Día 108,7,8,3687
Día 108,8,1,2960
Día 108,8,2,3221
Día 108,8,3,2939
Día 108,8,4,3159
Día 108,8,5,2432
Día 108,8,6,3340
Día 108,8,7,3765
Día 109,1,2,3290
Día 109,1,3,1160
Día 109,1,4,1274
Día 109,1,5,1181
Día 109,1,6,2292
Día 109,1,7,470
Día 109,1,8,2659
Día 109,2,1,3311
Día 109,2,3,2537
Día 109,2,4,3321
Día 109,2,5,2623
Día 109,2,6,2118
Día 109,2,7,2032
Día 109,2,8,3265
Día 109,3,1,1240
Día 109,3,2,2388
Día 109,3,4,798
Día 109,3,5,563
Día 109,3,6,1163
Día 109,3,7,1032
Día 109,3,8,2699
Día 109,4,1,1028
Día 109,4,2,3285
Día 109,4,3,740
Día 109,4,5,1354
Día 109,4,6,2220
Día 109,4,7,327
Día 109,4,8,3314
Día 109,5,1,1249
Día 109,5,2,2898
Día 109,5,3,507
Día 109,5,4,1171
Día 109,5,6,1516
Día 109,5,7,1373
Día 109,5,8,2341
Día 109,6,1,2329
Día 109,6,2,1994
Día 109,6,3,1188
Día 109,6,4,2420
Día 109,6,5,1760
Día 109,6,7,3492
Día 109,6,8,3002
Día 109,7,1,204
Día 109,7,2,2104
Día 109,7,3,1389
Día 109,7,4,471
Día 109,7,5,1171
Día 109,7,6,3505
Día 109,7,8,3650
Día 109,8,1,2705
Día 109,8,2,3299
Día 109,8,3,2743
Día 109,8,4,3256
Día 109,8,5,2327
Día 109,8,6,3043
Día 109,8,7,3779
Día 110,1,2,3356
Día 110,1,3,1229
Día 110,1,4,1063
Día 110,1,5,1299
Día 110,1,6,2245
Día 110,1,7,499
Día 110,1,8,2692
Día 110,2,1,3350
Día 110,2,3,2455
Día 110,2,4,3141
Día 110,2,5,2903
Día 110,2,6,2182
Día 110,2,7,1863
Día 110,2,8,3309
Día 110,3,1,1077
Día 110,3,2,2325
Día 110,3,4,810
Día 110,3,5,579
Día 110,3,6,1109
Día 110,3,7,1099
Día 110,3,8,2931
Día 110,4,1,1142
Día 110,4,2,3020
Día 110,4,3,983
Día 110,4,5,1218
Día 110,4,6,2206
Día 110,4,7,286
Día 110,4,8,3141
Día 110,5,1,1031
Día 110,5,2,2893
Día 110,5,3,443
Día 110,5,4,1141
Día 110,5,6,1555
Día 110,5,7,1066
Día 110,5,8,2533
Día 110,6,1,2233
Día 110,6,2,2053
Día 110,6,3,1201
Día 110,6,4,2203
Día 110,6,5,1763
Día 110,6,7,3463
Día 110,6,8,3240
Día 110,7,1,543
Día 110,7,2,2005
Día 110,7,3,1374
Día 110,7,4,257
Día 110,7,5,1217
Día 110,7,6,3459
Día 110,7,8,3599
Día 110,8,1,2686
Día 110,8,2,3342
Día 110,8,3,2849
Día 110,8,4,3077
Día 110,8,5,2572
Día 110,8,6,3207
Día 110,8,7,3552
Día 111,1,2,3319
Día 111,1,3,1089
Día 111,1,4,1175
Día 111,1,5,1240
Día 111,1,6,2400
Día 111,1,7,416
Día 111,1,8,2630
Día 111,2,1,3279
Día 111,2,3,2264
Día 111,2,4,3140
Día 111,2,5,2629
Día 111,2,6,2028
Día 111,2,7,1982
Día 111,2,8,3127
Día 111,3,1,1115
Día 111,3,2,2382
Día 111,3,4,986
Día 111,3,5,552
Día 111,3,6,1028
Día 111,3,7,1085
Día 111,3,8,2738
Día 111,4,1,1334
Día 111,4,2,3308
Día 111,4,3,843
Día 111,4,5,1306
Día 111,4,6,2485
Día 111,4,7,539
Día 111,4,8,3284
Día 111,5,1,1112
Día 111,5,2,2932
Día 111,5,3,294
Día 111,5,4,1345
Día 111,5,6,1595
Día 111,5,7,1295
Día 111,5,8,2440
Día 111,6,1,2597
Día 111,6,2,2086
Día 111,6,3,1373
Día 111,6,4,2532
Día 111,6,5,1418
Día 111,6,7,3418
Día 111,6,8,3082
Día 111,7,1,455
Día 111,7,2,2089
Día 111,7,3,1049
Día 111,7,4,365
Día 111,7,5,1282
Día 111,7,6,3508
Día 111,7,8,3755
Día 111,8,1,2966
Día 111,8,2,3103
Día 111,8,3,2678
Día 111,8,4,3255
Día 111,8,5,2599
Día 111,8,6,3115
Día 111,8,7,3526
Día 112,1,2,3381
Día 112,1,3,1018
Día 112,1,4,1233
Día 112,1,5,1363
Día 112,1,6,2316
Día 112,1,7,214
Día 112,1,8,2746
Día 112,2,1,3103
Día 112,2,3,2296
Día 112,2,4,3112
Día 112,2,5,2703
Día 112,2,6,2085
Día 112,2,7,2031
Día 112,2,8,3266
Día 112,3,1,1044
Día 112,3,2,2379
Día 112,3,4,766
Día 112,3,5,450
Día 112,3,6,1187
Día 112,3,7,1042
Día 112,3,8,2766
Día 112,4,1,1394
Día 112,4,2,3083
Día 112,4,3,660
Día 112,4,5,1260
Día 112,4,6,2230
Día 112,4,7,404
Día 112,4,8,3270
Día 112,5,1,1233
Día 112,5,2,2804
Día 112,5,3,345
Día 112,5,4,1020
Día 112,5,6,1457
Día 112,5,7,1293
Día 112,5,8,2461
Día 112,6,1,2271
Día 112,6,2,2009
Día 112,6,3,1060
Día 112,6,4,2213
Día 112,6,5,1447
Día 112,6,7,3414
Día 112,6,8,3238
Día 112,7,1,407
Día 112,7,2,1823
Día 112,7,3,1239
Día 112,7,4,311
Día 112,7,5,1205
Día 112,7,6,3626
Día 112,7,8,3711
Día 112,8,1,2715
Día 112,8,2,3283
Día 112,8,3,2749
Día 112,8,4,3189
Día 112,8,5,2245
Día 112,8,6,3019
Día 112,8,7,3591
Día 113,1,2,3153
Día 113,1,3,1233
Día 113,1,4,1237
Día 113,1,5,1181
Día 113,1,6,2502
Día 113,1,7,412
Día 113,1,8,2640
Día 113,2,1,3084
Día 113,2,3,2445
Día 113,2,4,3230
Día 113,2,5,2811
Día 113,2,6,2023
Día 113,2,7,1894
Día 113,2,8,3134
Día 113,3,1,1209
Día 113,3,2,2264
Día 113,3,4,630
Día 113,3,5,222
Día 113,3,6,1400
Día 113,3,7,1116
Día 113,3,8,2819
Día 113,4,1,1294
Día 113,4,2,3035
Día 113,4,3,705
Día 113,4,5,1282
Día 113,4,6,2549
Día 113,4,7,381
Día 113,4,8,3223
Día 113,5,1,1279
Día 113,5,2,2701
Día 113,5,3,257
Día 113,5,4,1226
Día 113,5,6,1761
Día 113,5,7,1100
Día 113,5,8,2265
Día 113,6,1,2493
Día 113,6,2,2167
Día 113,6,3,1098
Día 113,6,4,2405
Día 113,6,5,1480
Día 113,6,7,3742
Día 113,6,8,3392
Día 113,7,1,560
Día 113,7,2,1993
Día 113,7,3,1035
Día 113,7,4,576
Día 113,7,5,1069
Día 113,7,6,3722
Día 113,7,8,3421
Día 113,8,1,2624
Día 113,8,2,3351
Día 113,8,3,2840
Día 113,8,4,3193
Día 113,8,5,2503
Día 113,8,6,3123
Día 113,8,7,3756
Día 114,1,2,3252
Día 114,1,3,1126
Día 114,1,4,1178
Día 114,1,5,1229
Día 114,1,6,2234
Día 114,1,7,334
Día 114,1,8,2826
Día 114,2,1,3303
Día 114,2,3,2549
Día 114,2,4,3378
Día 114,2,5,2618
Día 114,2,6,1876
Día 114,2,7,2068
Día 114,2,8,3261
Día 114,3,1,1378
Día 114,3,2,2309
Día 114,3,4,906
Día 114,3,5,200
Día 114,3,6,1133
Día 114,3,7,1272
Día 114,3,8,2744
Día 114,4,1,1360
Día 114,4,2,3315
Día 114,4,3,771
Día 114,4,5,1168
Día 114,4,6,2402
Día 114,4,7,311
Día 114,4,8,3146
Día 114,5,1,1178
Día 114,5,2,2738
Día 114,5,3,346
Día 114,5,4,1326
Día 114,5,6,1667
Día 114,5,7,1099
Día 114,5,8,2509
Día 114,6,1,2309
Día 114,6,2,2139
Día 114,6,3,1086
Día 114,6,4,2365
Día 114,6,5,1461
Día 114,6,7,3765
Día 114,6,8,3207
Día 114,7,1,310
Día 114,7,2,1964
Día 114,7,3,1248
Día 114,7,4,394
Día 114,7,5,1084
Día 114,7,6,3586
Día 114,7,8,3464
Día 114,8,1,2891
Día 114,8,2,3369
Día 114,8,3,2811
Día 114,8,4,3076
Día 114,8,5,2300
Día 114,8,6,3248
Día 114,8,7,3621
Día 115,1,2,3164
Día 115,1,3,1025
Día 115,1,4,1234
Día 115,1,5,1339
Día 115,1,6,2416
Día 115,1,7,584
Día 115,1,8,2855
Día 115,2,1,3064
Día 115,2,3,2451
Día 115,2,4,3185
Día 115,2,5,2704
Día 115,2,6,2068
Día 115,2,7,1839
Día 115,2,8,3374
Día 115,3,1,1379
Día 115,3,2,2202
Día 115,3,4,830
Día 115,3,5,503
Día 115,3,6,1373
Día 115,3,7,1392
Día 115,3,8,2619
Día 115,4,1,1161
Día 115,4,2,3059
Día 115,4,3,834
Día 115,4,5,1113
Día 115,4,6,2402
Día 115,4,7,412
Día 115,4,8,3046
Día 115,5,1,1070
Día 115,5,2,2932
Día 115,5,3,484
Día 115,5,4,1288
Día 115,5,6,1636
Día 115,5,7,1173
Día 115,5,8,2531
Día 115,6,1,2363
Día 115,6,2,2196
Día 115,6,3,1002
Día 115,6,4,2556
Día 115,6,5,1497
Día 115,6,7,3495
Día 115,6,8,3394
Día 115,7,1,261
Día 115,7,2,1901
Día 115,7,3,1040
Día 115,7,4,237
Día 115,7,5,1198
Día 115,7,6,3743
Día 115,7,8,3726
Día 115,8,1,2939
Día 115,8,2,3100
Día 115,8,3,2740
Día 115,8,4,3127
Día 115,8,5,2383
Día 115,8,6,3342
Día 115,8,7,3557
Día 116,1,2,3106
Día 116,1,3,1196
Día 116,1,4,1001
Día 116,1,5,1312
Día 116,1,6,2223
Día 116,1,7,496
Día 116,1,8,2867
Día 116,2,1,3362
Día 116,2,3,2338
Día 116,2,4,3143
Día 116,2,5,2934
Día 116,2,6,2052
Día 116,2,7,1931
Día 116,2,8,3185
Día 116,3,1,1274
Día 116,3,2,2444
Día 116,3,4,791
Día 116,3,5,256
Día 116,3,6,1109
Día 116,3,7,1283
Día 116,3,8,2846
Día 116,4,1,1386
Día 116,4,2,3381
Día 116,4,3,770
Día 116,4,5,1372
Día 116,4,6,2373
Día 116,4,7,443
Día 116,4,8,3281
Día 116,5,1,1064
Día 116,5,2,2868
Día 116,5,3,345
Día 116,5,4,1215
Día 116,5,6,1738
Día 116,5,7,1360
Día 116,5,8,2425
Día 116,6,1,2243
Día 116,6,2,1869
Día 116,6,3,1366
Día 116,6,4,2219
Día 116,6,5,1648
Día 116,6,7,3743
Día 116,6,8,3120
Día 116,7,1,283
Día 116,7,2,2050
Día 116,7,3,1353
Día 116,7,4,262
Día 116,7,5,1204
Día 116,7,6,3679
Día 116,7,8,3532
Día 116,8,1,2621
Día 116,8,2,3166
Día 116,8,3,2893
Día 116,8,4,3053
Día 116,8,5,2402
Día 116,8,6,3281
Día 116,8,7,3588
Día 117,1,2,3282
Día 117,1,3,1037
Día 117,1,4,1105
Día 117,1,5,1277
Día 117,1,6,2437
Día 117,1,7,377
Día 117,1,8,2909
Día 117,2,1,3018
Día 117,2,3,2212
Día 117,2,4,3010
Día 117,2,5,2698
Día 117,2,6,1980
Día 117,2,7,2005
Día 117,2,8,3149
Día 117,3,1,1370
Día 117,3,2,2227
Día 117,3,4,628
Día 117,3,5,389
Día 117,3,6,1317
Día 117,3,7,1107
Día 117,3,8,2612
Día 117,4,1,1034
Día 117,4,2,3312
Día 117,4,3,999
Día 117,4,5,1310
Día 117,4,6,2504
Día 117,4,7,400
Día 117,4,8,3327
Día 117,5,1,1055
Día 117,5,2,2613
Día 117,5,3,461
Día 117,5,4,1353
Día 117,5,6,1762
Día 117,5,7,1370
Día 117,5,8,2485
Día 117,6,1,2582
Día 117,6,2,1924
Día 117,6,3,1108
Día 117,6,4,2452
Día 117,6,5,1578
Día 117,6,7,3465
Día 117,6,8,3185
Día 117,7,1,579
Día 117,7,2,2098
Día 117,7,3,1276
Día 117,7,4,417
Día 117,7,5,1196
Día 117,7,6,3442
Día 117,7,8,3619
Día 117,8,1,2601
Día 117,8,2,3152
Día 117,8,3,2659
Día 117,8,4,3029
Día 117,8,5,2448
Día 117,8,6,3218
Día 117,8,7,3676
Día 118,1,2,3037
Día 118,1,3,1371
Día 118,1,4,1033
Día 118,1,5,1250
Día 118,1,6,2272
Día 118,1,7,545
Día 118,1,8,2820
Día 118,2,1,3293
Día 118,2,3,2459
Día 118,2,4,3298
Día 118,2,5,2635
Día 118,2,6,2005
Día 118,2,7,1935
Día 118,2,8,3271
Día 118,3,1,1287
Día 118,3,2,2523
Día 118,3,4,732
Día 118,3,5,503
Día 118,3,6,1177
Día 118,3,7,1042
Día 118,3,8,2957
Día 118,4,1,1156
Día 118,4,2,3136
Día 118,4,3,712
Día 118,4,5,1020
Día 118,4,6,2510
Día 118,4,7,429
Día 118,4,8,3024
Día 118,5,1,1289
Día 118,5,2,2880
Día 118,5,3,364
Día 118,5,4,1377
Día 118,5,6,1557
Día 118,5,7,1167
Día 118,5,8,2503
Día 118,6,1,2536
Día 118,6,2,1955
Día 118,6,3,1324
Día 118,6,4,2551
Día 118,6,5,1654
Día 118,6,7,3557
Día 118,6,8,3183
Día 118,7,1,486
Día 118,7,2,2031
Día 118,7,3,1202
Día 118,7,4,497
Día 118,7,5,1208
Día 118,7,6,3638
Día 118,7,8,3689
Día 118,8,1,2767
Día 118,8,2,3395
Día 118,8,3,2602
Día 118,8,4,3123
Día 118,8,5,2499
Día 118,8,6,3272
Día 118,8,7,3727
Día 119,1,2,3209
Día 119,1,3,1015
Día 119,1,4,1351
Día 119,1,5,1281
Día 119,1,6,2587
Día 119,1,7,402
Día 119,1,8,2793
Día 119,2,1,3054
Día 119,2,3,2203
Día 119,2,4,3059
Día 119,2,5,2995
Día 119,2,6,2106
Día 119,2,7,2110
Día 119,2,8,3071
Día 119,3,1,1249
Día 119,3,2,2246
Día 119,3,4,710
Día 119,3,5,274
Día 119,3,6,1334
Día 119,3,7,1219
Día 119,3,8,2663
Día 119,4,1,1082
Día 119,4,2,3287
Día 119,4,3,737
Día 119,4,5,1090
Día 119,4,6,2456
Día 119,4,7,504
Día 119,4,8,3308
Día 119,5,1,1002
Día 119,5,2,2717
Día 119,5,3,273
Día 119,5,4,1266
Día 119,5,6,1603
Día 119,5,7,1399
Día 119,5,8,2442
Día 119,6,1,2357
Día 119,6,2,2125
Día 119,6,3,1006
Día 119,6,4,2237
Día 119,6,5,1555
Día 119,6,7,3490
Día 119,6,8,3246
Día 119,7,1,488
Día 119,7,2,2193
Día 119,7,3,1087
Día 119,7,4,474
Día 119,7,5,1028
Día 119,7,6,3736
Día 119,7,8,3430
Día 119,8,1,2660
Día 119,8,2,3158
Día 119,8,3,2795
Día 119,8,4,3030
Día 119,8,5,2439
Día 119,8,6,3140
Día 119,8,7,3415
Día 120,1,2,3122
Día 120,1,3,1104
Día 120,1,4,1322
Día 120,1,5,1009
Día 120,1,6,2311
Día 120,1,7,567
Día 120,1,8,2937
Día 120,2,1,3240
Día 120,2,3,2290
Día 120,2,4,3004
Día 120,2,5,2865
Día 120,2,6,1875
Día 120,2,7,2180
Día 120,2,8,3116
Día 120,3,1,1151
Día 120,3,2,2224
Día 120,3,4,678
Día 120,3,5,390
Día 120,3,6,1017
Día 120,3,7,1188
Día 120,3,8,2802
Día 120,4,1,1136
Día 120,4,2,3058
Día 120,4,3,672
Día 120,4,5,1192
Día 120,4,6,2575
Día 120,4,7,261
Día 120,4,8,3035
Día 120,5,1,1297
Día 120,5,2,2898
Día 120,5,3,582
Día 120,5,4,1080
Día 120,5,6,1438
Día 120,5,7,1085
Día 120,5,8,2376
Día 120,6,1,2582
Día 120,6,2,2158
Día 120,6,3,1311
Día 120,6,4,2335
Día 120,6,5,1450
Día 120,6,7,3703
Día 120,6,8,3068
Día 120,7,1,250
Día 120,7,2,2088
Día 120,7,3,1033
Día 120,7,4,416
Día 120,7,5,1327
Día 120,7,6,3659
Día 120,7,8,3720
Día 120,8,1,2920
Día 120,8,2,3116
Día 120,8,3,2698
Día 120,8,4,3308
Día 120,8,5,2414
Día 120,8,6,3112
Día 120,8,7,3646
Día 121,1,2,3084
Día 121,1,3,1334
Día 121,1,4,1277
Día 121,1,5,1260
Día 121,1,6,2516
Día 121,1,7,588
Día 121,1,8,2648
Día 121,2,1,3002
Día 121,2,3,2438
Día 121,2,4,3180
Día 121,2,5,2790
Día 121,2,6,1949
Día 121,2,7,2176
Día 121,2,8,3115
Día 121,3,1,1171
Día 121,3,2,2444
Día 121,3,4,934
Día 121,3,5,213
Día 121,3,6,1096
Día 121,3,7,1003
Día 121,3,8,2882
Día 121,4,1,1286
Día 121,4,2,3172
Día 121,4,3,920
Día 121,4,5,1143
Día 121,4,6,2247
Día 121,4,7,543
Día 121,4,8,3267
Día 121,5,1,1365
Día 121,5,2,2861
Día 121,5,3,236
Día 121,5,4,1145
Día 121,5,6,1716
Día 121,5,7,1300
Día 121,5,8,2210
Día 121,6,1,2535
Día 121,6,2,2178
Día 121,6,3,1359
Día 121,6,4,2538
Día 121,6,5,1690
Día 121,6,7,3589
Día 121,6,8,3322
Día 121,7,1,435
Día 121,7,2,2048
Día 121,7,3,1281
Día 121,7,4,280
Día 121,7,5,1052
Día 121,7,6,3758
Día 121,7,8,3401
Día 121,8,1,2776
Día 121,8,2,3025
Día 121,8,3,3000
Día 121,8,4,3376
Día 121,8,5,2329
Día 121,8,6,3338
Día 121,8,7,3430
Día 122,1,2,3055
Día 122,1,3,1376
Día 122,1,4,1342
Día 122,1,5,1147
Día 122,1,6,2253
Día 122,1,7,539
Día 122,1,8,2949
Día 122,2,1,3116
Día 122,2,3,2336
Día 122,2,4,3014
Día 122,2,5,2649
Día 122,2,6,1852
Día 122,2,7,1879
Día 122,2,8,3081
Día 122,3,1,1258
Día 122,3,2,2518
Día 122,3,4,694
Día 122,3,5,222
Día 122,3,6,1170
Día 122,3,7,1290
Día 122,3,8,2878
Día 122,4,1,1326
Día 122,4,2,3045
Día 122,4,3,709
Día 122,4,5,1224
Día 122,4,6,2311
Día 122,4,7,358
Día 122,4,8,3030
Día 122,5,1,1125
Día 122,5,2,2995
Día 122,5,3,320
Día 122,5,4,1094
Día 122,5,6,1553
Día 122,5,7,1032
Día 122,5,8,2500
Día 122,6,1,2475
Día 122,6,2,1957
Día 122,6,3,1094
Día 122,6,4,2555
Día 122,6,5,1511
Día 122,6,7,3629
Día 122,6,8,3207
Día 122,7,1,256
Día 122,7,2,2128
Día 122,7,3,1320
Día 122,7,4,378
Día 122,7,5,1164
Día 122,7,6,3592
Día 122,7,8,3625
Día 122,8,1,2824
Día 122,8,2,3062
Día 122,8,3,2762
Día 122,8,4,3160
Día 122,8,5,2408
Día 122,8,6,3155
Día 122,8,7,3458
Día 123,1,2,3305
Día 123,1,3,1272
Día 123,1,4,1227
Día 123,1,5,1082
Día 123,1,6,2368
Día 123,1,7,553
Día 123,1,8,2620
Día 123,2,1,3342
Día 123,2,3,2440
Día 123,2,4,3147
Día 123,2,5,2965
Día 123,2,6,2134
Día 123,2,7,2118
Día 123,2,8,3372
Día 123,3,1,1260
Día 123,3,2,2549
Día 123,3,4,710
Día 123,3,5,279
Día 123,3,6,1186
Día 123,3,7,1382
Día 123,3,8,2647
Día 123,4,1,1305
Día 123,4,2,3315
Día 123,4,3,836
Día 123,4,5,1048
Día 123,4,6,2292
Día 123,4,7,481
Día 123,4,8,3118
Día 123,5,1,1024
Día 123,5,2,2967
Día 123,5,3,354
Día 123,5,4,1203
Día 123,5,6,1502
Día 123,5,7,1047
Día 123,5,8,2210
Día 123,6,1,2277
Día 123,6,2,2187
Día 123,6,3,1330
Día 123,6,4,2259
Día 123,6,5,1611
Día 123,6,7,3489
Día 123,6,8,3105
Día 123,7,1,232
Día 123,7,2,2046
Día 123,7,3,1043
Día 123,7,4,519
Día 123,7,5,1010
Día 123,7,6,3409
Día 123,7,8,3728
Día 123,8,1,2943
Día 123,8,2,3370
Día 123,8,3,2877
Día 123,8,4,3153
Día 123,8,5,2584
Día 123,8,6,3339
Día 123,8,7,3529
Día 124,1,2,3261
Día 124,1,3,1169
Día 124,1,4,1224
Día 124,1,5,1398
Día 124,1,6,2592
Día 124,1,7,205
Día 124,1,8,2651
Día 124,2,1,3148
Día 124,2,3,2369
Día 124,2,4,3167
Día 124,2,5,2686
Día 124,2,6,1815
Día 124,2,7,1837
Día 124,2,8,3204
Día 124,3,1,1191
Día 124,3,2,2460
Día 124,3,4,968
Día 124,3,5,585
Día 124,3,6,1093
Día 124,3,7,1284
Día 124,3,8,2896
Día 124,4,1,1046
Día 124,4,2,3023
Día 124,4,3,687
Día 124,4,5,1026
Día 124,4,6,2256
Día 124,4,7,391
Día 124,4,8,3116
Día 124,5,1,1153
Día 124,5,2,2663
Día 124,5,3,269
Día 124,5,4,1100
Día 124,5,6,1775
Día 124,5,7,1389
Día 124,5,8,2412
Día 124,6,1,2263
Día 124,6,2,1930
Día 124,6,3,1384
Día 124,6,4,2387
Día 124,6,5,1522
Día 124,6,7,3591
Día 124,6,8,3393
Día 124,7,1,431
Día 124,7,2,2029
Día 124,7,3,1071
Día 124,7,4,396
Día 124,7,5,1157
Día 124,7,6,3634
Día 124,7,8,3793
Día 124,8,1,2720
Día 124,8,2,3129
Día 124,8,3,2725
Día 124,8,4,3089
Día 124,8,5,2301
Día 124,8,6,3289
Día 124,8,7,3744
Día 125,1,2,3278
Día 125,1,3,1261
Día 125,1,4,1036
Día 125,1,5,1072
Día 125,1,6,2381
Día 125,1,7,234
Día 125,1,8,2771
Día 125,2,1,3048
Día 125,2,3,2392
Día 125,2,4,3173
Día 125,2,5,2639
Día 125,2,6,2070
Día 125,2,7,2179
Día 125,2,8,3294
Día 125,3,1,1338
Día 125,3,2,2220
Día 125,3,4,713
Día 125,3,5,295
Día 125,3,6,1168
Día 125,3,7,1178
Día 125,3,8,2934
Día 125,4,1,1112
Día 125,4,2,3105
Día 125,4,3,602
Día 125,4,5,1109
Día 125,4,6,2594
Día 125,4,7,304
Día 125,4,8,3027
Día 125,5,1,1010
Día 125,5,2,2917
Día 125,5,3,493
Día 125,5,4,1064
Día 125,5,6,1584
Día 125,5,7,1277
Día 125,5,8,2476
Día 125,6,1,2399
Día 125,6,2,1844
Día 125,6,3,1249
Día 125,6,4,2464
Día 125,6,5,1476
Día 125,6,7,3418
Día 125,6,8,3029
Día 125,7,1,594
Día 125,7,2,1970
Día 125,7,3,1326
Día 125,7,4,280
Día 125,7,5,1247
Día 125,7,6,3532
Día 125,7,8,3691
Día 125,8,1,2724
Día 125,8,2,3348
Día 125,8,3,2938
Día 125,8,4,3358
Día 125,8,5,2379
Día 125,8,6,3053
Día 125,8,7,3479
Día 126,1,2,3118
Día 126,1,3,1135
Día 126,1,4,1084
Día 126,1,5,1045
Día 126,1,6,2215
Día 126,1,7,295
Día 126,1,8,2997
Día 126,2,1,3269
Día 126,2,3,2500
Día 126,2,4,3275
Día 126,2,5,2647
Día 126,2,6,2157
Día 126,2,7,2086
Día 126,2,8,3379
Día 126,3,1,1200
Día 126,3,2,2552
Día 126,3,4,990
Día 126,3,5,433
Día 126,3,6,1051
Día 126,3,7,1121
Día 126,3,8,2890
Día 126,4,1,1201
Día 126,4,2,3211
Día 126,4,3,902
Día 126,4,5,1265
Día 126,4,6,2472
Día 126,4,7,424
Día 126,4,8,3108
Día 126,5,1,1285
Día 126,5,2,2843
Día 126,5,3,586
Día 126,5,4,1390
Día 126,5,6,1799
Día 126,5,7,1253
Día 126,5,8,2294
Día 126,6,1,2478
Día 126,6,2,2082
Día 126,6,3,1156
Día 126,6,4,2286
Día 126,6,5,1696
Día 126,6,7,3599
Día 126,6,8,3088
Día 126,7,1,543
Día 126,7,2,2109
Día 126,7,3,1114
Día 126,7,4,503
Día 126,7,5,1028
Día 126,7,6,3491
Día 126,7,8,3680
Día 126,8,1,2728
Día 126,8,2,3094
Día 126,8,3,2783
Día 126,8,4,3234
Día 126,8,5,2416
Día 126,8,6,3375
Día 126,8,7,3614
Día 127,1,2,3081
Día 127,1,3,1282
Día 127,1,4,1090
Día 127,1,5,1118
Día 127,1,6,2584
Día 127,1,7,263
Día 127,1,8,2736
Día 127,2,1,3366
Día 127,2,3,2229
Día 127,2,4,3272
Día 127,2,5,2627
Día 127,2,6,2086
Día 127,2,7,2039
Día 127,2,8,3153
Día 127,3,1,1025
Día 127,3,2,2276
Día 127,3,4,813
Día 127,3,5,295
Día 127,3,6,1002
Día 127,3,7,1293
Día 127,3,8,2791
Día 127,4,1,1238
Día 127,4,2,3235
Día 127,4,3,775
Día 127,4,5,1258
Día 127,4,6,2273
Día 127,4,7,411
Día 127,4,8,3396
Día 127,5,1,1050
Día 127,5,2,2658
Día 127,5,3,503
Día 127,5,4,1007
Día 127,5,6,1541
Día 127,5,7,1006
Día 127,5,8,2281
Día 127,6,1,2538
Día 127,6,2,1862
Día 127,6,3,1220
Día 127,6,4,2483
Día 127,6,5,1668
Día 127,6,7,3494
Día 127,6,8,3154
Día 127,7,1,372
Día 127,7,2,2019
Día 127,7,3,1087
Día 127,7,4,332
Día 127,7,5,1185
Día 127,7,6,3488
Día 127,7,8,3595
Día 127,8,1,2675
Día 127,8,2,3011
Día 127,8,3,2748
Día 127,8,4,3054
Día 127,8,5,2284
Día 127,8,6,3195
Día 127,8,7,3682
Día 128,1,2,3263
Día 128,1,3,1287
Día 128,1,4,1322
Día 128,1,5,1121
Día 128,1,6,2391
Día 128,1,7,450
Día 128,1,8,2860
Día 128,2,1,3288
Día 128,2,3,2581
Día 128,2,4,3360
Día 128,2,5,2986
Día 128,2,6,1930
Día 128,2,7,2004
Día 128,2,8,3046
Día 128,3,1,1205
Día 128,3,2,2482
Día 128,3,4,722
Día 128,3,5,255
Día 128,3,6,1021
Día 128,3,7,1327
Día 128,3,8,2926
Día 128,4,1,1331
Día 128,4,2,3010
Día 128,4,3,648
Día 128,4,5,1273
Día 128,4,6,2417
Día 128,4,7,599
Día 128,4,8,3106
Día 128,5,1,1175
Día 128,5,2,2829
Día 128,5,3,527
Día 128,5,4,1222
Día 128,5,6,1451
Día 128,5,7,1038
Día 128,5,8,2350
Día 128,6,1,2523
Día 128,6,2,2020
Día 128,6,3,1122
Día 128,6,4,2448
Día 128,6,5,1721
Día 128,6,7,3573
Día 128,6,8,3032
Día 128,7,1,280
Día 128,7,2,1973
Día 128,7,3,1178
Día 128,7,4,319
Día 128,7,5,1249
Día 128,7,6,3633
Día 128,7,8,3433
Día 128,8,1,2951
Día 128,8,2,3001
Día 128,8,3,2990
Día 128,8,4,3272
Día 128,8,5,2247
Día 128,8,6,3039
Día 128,8,7,3488
Día 129,1,2,3022
Día 129,1,3,1312
Día 129,1,4,1307
Día 129,1,5,1387
